# company number	Partner 1	Partner 2	Partner 3	Partner 4
1	Slingshot Ventures	SINBON Electronics		
2				
3	Keadyn	Adriaan Mol	Ludo Onnink	Fred Gehring
4	Rabobank	Tango	Athlon	AutoBinck
5				
6	DAH Beteiligungs GmbH	Schnell Consult GmbH	RM Beteiligungsverwaltung GmbH	Big Data Investments B.V.
7	Macquarie Capital	Rheingau Founders		
8				
9				
10				
11				
12	UNIIQ			
13				
14				
15				
16				
17				
18				
19				
20				
21				
22				
23				
24				
25				
26				
27				
28	Endeit Capital	SanomaVentures		
29	Viola Growth	Viola Private Equity		
30	Yoma James Kukor	Magnitude Network		
31	Acequia Capital (Acecap)	DeNA	EASME - EU Executive Agency for SMEs	Sistema_VC
32	The Coca-Cola Company	ING Group	Horizon 2020	PMV
33	Marc Benioff	Lynne Benioff		
34	International Finance Corporation	Prime Ventures		
35				
36	henQ	BOM Brabant Ventures	Bonsai Partners	TIIN Capital
37				
38	DN Capital	henQ		
39	Startupbootcamp Amsterdam			
40				
41	Inc.	Forbion Capital Partners	Chiesi Pharmaceuticals	Coller Capital
42	Netherlands Enterprise Agency	Laurens Groenendijk	Hartenlust Group	
43	EASME - EU Executive Agency for SMEs	High Tech Fund	LLX2 Investments	Dutch Technology Foundation STW
44	Markus Emmer	Jeroen van Velzen	Koen Bavinck	
45	Finch Capital			
46				
47	Rudolf Booker			
48				
49	Rockstart	Right Side Capital Management	Loyal VC	XAnge
50				
51	EASME - EU Executive Agency for SMEs			
52	JOIN Capital	SIGNA Innovations		
53	NPM Capital			
54	Flowfund			
55	henQ	Fortino Capital		
56	Inventure	Open Circle Capital	70Ventures	Nexvil
57	Investment Funds for Health in Africa	Dutch Ministry of Foreign Affairs		
58	Guillermo Rauch	Dylan Field	Arches Capital	Quinn Slack
59	Venture Kick	Wellington Partners	Life Sciences Partners	Foundation for Technological Innovation (FIT)
60	Pieter Schoen	Startupbootcamp Commerce Amsterdam		
61	Macquarie Capital	Mountain Partners	SevenVentures	Rheingau Founders
62	Alliander	AutoBinck	Sander Nijssen	Tendris Holding
63	Finch Capital	Route 66 Ventures		
64				
65	Three Curve Capital	Startupbootcamp Commerce Amsterdam	Gaomei Yunjing Investments	SP Investment Associates (SPIA)
66	ReadyTech	Linden Mobile Ventures		
67				
68				
69	Internet Initiatives Development Fund (IIDF)	Sistema_VC		
70				
71	EASME - EU Executive Agency for SMEs	Korys	InnovationQuarter	Aglaia BioMedical Ventures
72				
73	Freigeist Capital	Block Party	UNIIQ	Nederlandse Spoorwegen Utrecht
74	OPIC - Overseas Private Investment Corporation	Pembani Remgro Infrastructure Managers	VLTCM	
75				
76	Marc Coucke			
77	KLA Tencor	Munich Venture Partners	SET Ventures	Innovation Industries
78				
79	Rene Moos			
80				
81	Loyal VC	Health Innovations		
82				
83	River Venture Partners	Telegraaf Media Groep (TMG)	Herman Kienhuis	Laurens Groenendijk
84	Founder Collective	GGV Capital	Silicon Badia	Studio VC
85	VvAA	Hartwig	ASR	
86	Walvis Participaties	VOC Capital Partners	Pascal Cagni	
87	RA Capital Management	Novo Holdings	Novartis Venture Fund	Rock Springs Capital
88	Adriaan Mol	Daniel Ropers		
89	Startupbootcamp Smart City & IoT Amsterdam	W2 Labs	Hebo Investments	
90	Dinko Valerio	The Van Veggel Family	Coen van Oostrom	Daan van der Vorm
91	INKEF Capital	Nikkei Inc	Axel Springer Digital Ventures	
92	Slingshot Ventures	Tablomonto Ventures		
93	Walvis Participaties	The Hatch Firm		
94				
95				
96	Idinvest Partners	Foresite Capital	Life Sciences Partners	Bain Capital Life Sciences
97				
98				
99	Velocity Capital Private Equity	Noro Venture Capital		
100	Bizcuit Group			
101	Riverside Acceleration Capital			
102	Ron van Valkengoed	Floris van der Veen		
103	Global Founders Capital	Prime Ventures		
104				
105	Arosa Capital Management	CF Capital Management	Duurzaam Investeren	Energiefonds Utrecht
106	VRTech			
107				
108				
109	Total	HealthInc		
110	4impact			
111	Optima Investments			
112	INKEF Capital	Gilde Healthcare	Vesalius Biocapital Partners	
113				
114	INKEF Capital	Rabobank	Fortino Capital	Tablomonto Ventures
115				
116	World Startup Factory	Arcadis City of 2030 Accelerator	Powered by Techstars	Krypto Labs
117	InnovationQuarter	UNIIQ	Lucros Investment	Rinke Zonneveld
